用户名,会员,星级,评论,类型1,评论时间1,评论时间2,类型2,评论时间3,评论时间4
s***2,PLUS会员,"<div class=""comment-star star1""></div>",用完满脸毛！假货！认证完毕！,水润保湿面膜,,,,,2018-12-14 11:55
晴***符,PLUS会员,"<div class=""comment-star star1""></div>",不好，不是正品，是国内生产的，不是韩国的,水润保湿面膜10片,2017-11-28 14:06,,,,
半***香,PLUS会员,"<div class=""comment-star star1""></div>",还没有，别人的评价蛮高的，下次再来评价,水润保湿面膜,,,,,2019-05-24 21:07
Z***1,,"<div class=""comment-star star1""></div>",没包装膜外包装贼旧是真是假你们猜,水润保湿面膜10片,2017-10-16 22:19,,,,
D***C,PLUS会员,"<div class=""comment-star star1""></div>",感觉没之前做的好用了。。。。,水润保湿面膜,,,,,2019-06-05 13:53
****d,,"<div class=""comment-star star1""></div>",不是正品，用了皮肤粘乎乎的,水润保湿面膜10片,2017-08-13 22:32,,,,
****m,,"<div class=""comment-star star1""></div>",买了一天，还没开始用，又降价了，。。。。。。。。。。。。。,水润保湿面膜10片,2017-11-09 18:07,,,,
雨***默,PLUS会员,"<div class=""comment-star star1""></div>",降价不爽，面膜有点厚，其他没啥,水润保湿面膜,,,,,2018-10-19 06:49
****2,,"<div class=""comment-star star1""></div>",拿到手盒子是破的，感觉不太好~,水润保湿面膜,,,,,2018-11-15 20:18
刘***读,,"<div class=""comment-star star1""></div>",面膜一般般，不像宣传的那么好。,水润保湿面膜,,,,,2018-12-12 20:01
英***猫,,"<div class=""comment-star star1""></div>",水货，一股酒精味，跟以前不一样,【热销爆款】水润保湿面膜,,,,,2019-11-25 10:13
我***-,,"<div class=""comment-star star1""></div>",包装不好是真的，厚也是真的。,,,2018-07-21 16:07,水润保湿面膜10片,,
****0,,"<div class=""comment-star star1""></div>",收到的面膜包装破损，希望面膜是正品,,,2017-11-12 20:32,水润保湿面膜10片,,
江***森,PLUS会员,"<div class=""comment-star star1""></div>",这次买的感觉不对劲啊有点水吧,水润保湿面膜,,,,,2018-11-13 02:49
****d,,"<div class=""comment-star star1""></div>",假货没有的美迪惠尔的水印,,,2018-06-24 12:30,水润保湿面膜10片,,
刘***6,,"<div class=""comment-star star1""></div>",给老婆买的刚买了就搞活动好尴尬,水润保湿面膜10片,2017-09-24 07:29,,,,
****S,,"<div class=""comment-star star1""></div>",使用感受：假的，跟以前用的不一样。,【热销爆款】水润保湿面膜,,,,,2019-11-13 22:36
小***3,,"<div class=""comment-star star1""></div>",京东的包装能再差点吗，寄过来都是瘪的！！,,,2018-05-08 22:06,水润保湿面膜10片,,
****n,,"<div class=""comment-star star1""></div>",感觉假货，敷完出现搓泥的感觉,水润保湿面膜10片,2017-11-17 20:30,,,,
a***h,,"<div class=""comment-star star1""></div>",东西包装不错，效果不怎么好。,水润保湿面膜10片,2017-08-25 21:33,,,,
****i,,"<div class=""comment-star star1""></div>",面膜居然有破的，京东怎么了！？,水润保湿面膜,,,,,2019-09-13 21:34
****j,,"<div class=""comment-star star1""></div>",这个盒子我真的不想说什么了,,,,水润保湿面膜,2018-12-17 10:10,
****2,,"<div class=""comment-star star1""></div>",这次买的像假货，特意敷了过来评价的,水润保湿面膜,,,,,2019-06-19 12:52
****r,,"<div class=""comment-star star1""></div>",用了一次就过敏半个月还没好,水润保湿面膜10片,,,,,
****6,,"<div class=""comment-star star1""></div>",订五盒只寄一盒，无法沟通！,【热销爆款】水润保湿面膜10片,,,,,2020-02-13 21:12
****k,,"<div class=""comment-star star1""></div>",没有之前用的老款好用太稀薄,,,,水润保湿面膜,2019-10-06 19:21,
****8,,"<div class=""comment-star star1""></div>",第一次见到这么简陋的包装，我也是醉了！！,,,,水润保湿面膜,2019-03-20 21:33,
****j,,"<div class=""comment-star star1""></div>",有点小盖不住脸其他的还可以,水润保湿面膜10片,2017-11-09 04:12,,,,
缘***浅,,"<div class=""comment-star star1""></div>",货拿过来就是这样，货也不知道是不是真的,,,2017-06-20 13:41,水润保湿面膜10片,,
****p,,"<div class=""comment-star star1""></div>",面膜还没用，打开发现包装破损,,,2017-11-14 09:36,水润保湿面膜10片,,
A***湖,,"<div class=""comment-star star1""></div>",用了没什么效果还这么贵,【热销爆款】水润保湿面膜10片,,,,,2020-04-01 20:51
****r,,"<div class=""comment-star star1""></div>",您没有填写内容，默认好评,【热销爆款】水润保湿面膜10片,,,,,2020-03-21 21:08
x***p,,"<div class=""comment-star star1""></div>",确定正品吗？比正常的小很多。,水润保湿面膜,,,,,2018-10-02 22:40
l***U,,"<div class=""comment-star star1""></div>",还没用，但是盒子都破损了,,,,【热销爆款】水润保湿面膜10片,2020-02-16 20:05,
樱***1,PLUS会员,"<div class=""comment-star star1""></div>",脸都敷不上精华也有点少,,,,【热销爆款】水润保湿面膜,2020-06-07 21:57,
u***w,,"<div class=""comment-star star1""></div>",液体少的可怜，和韩国买的不一样,水润保湿面膜10片,2017-06-23 15:07,,,,
