用户名,会员,星级,评论,采集时间,类型1,评论时间1,类型2,评论时间2,评论时间3,评论时间4
就***8,,"<div class=""comment-star star3""></div>",还可以吧，不过不知道是不是真的，很刺皮肤,10:42.5,水润保湿面膜10片,2017/4/13 19:57,,,,
****q,,"<div class=""comment-star star3""></div>",用了效果还可以，就是对包装不太满意。,10:42.5,,,水润保湿面膜10片,,2017/6/14 8:52,
小***皮,,"<div class=""comment-star star3""></div>",新版不好用还买这么多，还送了闺蜜一堆我哭了。,10:42.6,【热销爆款】水润保湿面膜10片,,,,,
F***H,,"<div class=""comment-star star3""></div>",买了三盒够用一段时间了，但愿是正品，还没开始用…,10:42.6,,,水润保湿面膜10片,,2017/7/13 15:09,
不***丁,,"<div class=""comment-star star3""></div>",水分比较少。效果就那样吧。,10:42.7,【热销爆款】水润保湿面膜,2020/6/12 20:42,,,,
****0,,"<div class=""comment-star star3""></div>",物流速度快，已多次购买，价格划算,10:42.7,【热销爆款】水润保湿面膜,2020/7/22 13:48,,,,
u***p,,"<div class=""comment-star star3""></div>",买了几次，还不错，不知道是否正品，配送速度快,10:42.8,水润保湿面膜10片,2016/12/10 18:08,,,,
****i,,"<div class=""comment-star star3""></div>",还没用。不知道。用了再来评论，,10:43.1,水润保湿面膜,,,,,
g***o,,"<div class=""comment-star star3""></div>",买了三盒，还没用，用过再来评论,10:43.2,水润保湿面膜10片,2016/11/27 7:28,,,,
春***麦,PLUS会员,"<div class=""comment-star star3""></div>",精华少，干的快，不够滋润。,10:43.3,【热销爆款】水润保湿面膜10片,,,,,
g***o,PLUS会员,"<div class=""comment-star star3""></div>",使用感受：用完之后感觉脸上油油的,10:43.3,【热销爆款】水润保湿面膜,2020/8/7 7:59,,,,
l***y,,"<div class=""comment-star star3""></div>",还没用，但为毛外盒上一层灰？,10:43.4,水润保湿面膜10片,,,,,2017/3/4 19:06
常***语,,"<div class=""comment-star star3""></div>",前几天不知道，下次不会买韩国的东西了,10:43.4,水润保湿面膜10片,,,,,2017/3/7 8:51
u***p,,"<div class=""comment-star star3""></div>",还没用，希望可以，上网买有优惠，方便快捷,10:43.5,水润保湿面膜10片,2016/11/1 11:46,,,,
****3,,"<div class=""comment-star star3""></div>",补水效果：精华少了，干干的,10:43.6,【补水保湿】水润面膜,2020/10/22 21:37,,,,
乐***1,PLUS会员,"<div class=""comment-star star3""></div>",敏感肌慎用，使用后两侠泛红,10:43.6,【热销爆款】水润保湿面膜10片,,,,,
宋***0,,"<div class=""comment-star star3""></div>",今天收到，不过包装打开的，心生怀疑，等用过了再来追评,10:43.7,,,水润保湿面膜,2019/8/6 13:37,,
T***4,,"<div class=""comment-star star3""></div>",做促销活动时买的，便宜很多，还没使用，不知道真假,10:44.0,,,水润保湿面膜,2019/6/16 21:33,,
夏***一,,"<div class=""comment-star star3""></div>",双11买的，昨天才到货，还没使用，第一次用这款面膜。,10:44.1,,,水润保湿面膜10片,,2017/11/15 14:51,
****2,,"<div class=""comment-star star3""></div>",感觉还蛮水润，感觉还蛮水润，感觉还蛮水润,10:44.1,,,水润保湿面膜,2018/12/3 13:11,,
y***g,PLUS会员,"<div class=""comment-star star3""></div>",东西不错，有活动，送货一如既往的给力，喜欢在京东购物。,10:44.2,水润保湿面膜10片,2017/5/13 20:55,,,,
****s,PLUS会员,"<div class=""comment-star star3""></div>",水分是挺多，就是含大量荧光剂,10:44.2,水润保湿面膜10片,2017/9/15 23:10,,,,
z***8,,"<div class=""comment-star star3""></div>",刚收到，不过，额这个包装,10:44.3,,,【玄彬同款】水润面膜,,2021/4/8 11:26,
一***儿,PLUS会员,"<div class=""comment-star star3""></div>",用完长痘，不知大家用着怎么样,10:44.3,,,水润保湿面膜,2019/3/4 19:08,,
果***妈,PLUS会员,"<div class=""comment-star star3""></div>",还没用，不知道咋样，活动囤货中,10:44.4,,,水润保湿面膜10片,,2018/6/11 11:22,
成***D,,"<div class=""comment-star star3""></div>",刚刚收到就特价了，退还挺麻烦。合适再买吧,10:44.4,【玄彬同款】水润面膜,2020/12/23 10:46,,,,
悠***虫,,"<div class=""comment-star star3""></div>",好觉很厚，用着油油的！不清爽,10:44.5,水润保湿面膜10片,2017/5/21 9:40,,,,
1***p,,"<div class=""comment-star star3""></div>",第一次用这个。感觉一般吧。后续再来和大家,10:44.7,,,水润保湿面膜10片,,2018/1/14 0:48,
****h,,"<div class=""comment-star star3""></div>",总体来说还是比较可以的，就是没有那么补水,10:44.8,水润保湿面膜10片,2016/9/12 8:19,,,,
太***铛,,"<div class=""comment-star star3""></div>",京东送货快，这款面膜包装一般，效果要看。,10:44.8,,,水润保湿面膜10片,,2017/3/31 18:26,
****K,,"<div class=""comment-star star3""></div>",刚刚收到还没用，用了在评论吧,10:44.9,【热销爆款】水润保湿面膜10片,,,,,
邓***q,PLUS会员,"<div class=""comment-star star3""></div>",还在使用中，效果具体咋样有待进一步考察,10:45.0,水润保湿面膜10片,2018/9/22 12:14,,,,
****a,,"<div class=""comment-star star3""></div>",昨晚订货，今天就到了！！！但包装不完好，拿来时开口都打开了！,10:45.0,水润保湿面膜10片,2016/8/16 14:13,,,,
****冬,,"<div class=""comment-star star3""></div>",刚到手，没用过，不过应该还不错吧……,10:45.1,水润保湿面膜10片,2016/11/7 20:15,,,,
